date,catalog_units,observed_articles,valid_momentum_articles,positive_velocity_articles,avg_article_velocity,median_article_velocity,avg_relative_velocity_pct,positive_velocity_share_pct
2018-09-20,40919.0,7228,0.0,0.0,,,,
2018-09-21,40130.0,8580,0.0,0.0,,,,
2018-09-22,15343.0,8882,0.0,0.0,,,,
2018-09-23,44423.0,9390,0.0,0.0,,,,
2018-09-24,38823.0,9669,7228.0,3388.0,0.06918531109178566,0.0,0.8204087044253311,46.87
2018-09-25,37413.0,9891,8580.0,7016.0,0.9616133866133882,0.4285714285714286,23.071466974615905,81.77
2018-09-26,40580.0,10108,8882.0,6798.0,0.7223437449737852,0.357142857142857,17.795215939494902,76.54
2018-09-27,37877.0,10310,9390.0,3227.0,-0.15216035295907507,-0.07142857142857117,-3.7293514000365304,34.37
2018-09-28,58327.0,10527,9669.0,3385.0,-0.0889218858502134,0.0,-2.349190967325341,35.01
2018-09-29,126218.0,10760,9891.0,3230.0,-0.10089258633389682,-0.07142857142857117,-2.765420870550872,32.66
2018-09-30,33434.0,10792,10108.0,3294.0,-0.10781417830290012,-0.07142857142857117,-2.9874936001932486,32.59
2018-10-01,33284.0,10861,10310.0,2419.0,-0.24642510738534015,-0.07142857142857151,-6.351263268785117,23.46
2018-10-02,34740.0,10932,10527.0,897.0,-0.8385240673641933,-0.35714285714285715,-20.97014704556817,8.52
2018-10-03,33378.0,11001,10760.0,1158.0,-0.6616171003717474,-0.2857142857142857,-16.735786053567654,10.76
2018-10-04,33548.0,11073,10792.0,3170.0,-0.09513660912845505,-0.07142857142857117,-2.6268381095491597,29.37
2018-10-05,29787.0,11148,10861.0,3590.0,-0.07282938955897249,0.0,-2.122218043572408,33.05
2018-10-06,32961.0,11218,10932.0,5271.0,0.1139381109194501,0.0,2.427855356952477,48.22
2018-10-07,28955.0,11255,11001.0,6277.0,0.23186853143220798,0.07142857142857142,5.444198859619831,57.06
2018-10-08,25143.0,11288,11073.0,6240.0,0.19615280411812475,0.07142857142857142,4.634037714750934,56.35
2018-10-09,33349.0,11343,11148.0,6055.0,0.166397560100466,0.0714285714285714,3.9685490418094957,54.31
2018-10-10,54535.0,11449,11218.0,5270.0,0.08679290935486328,0.0,2.0907651789500448,46.98
2018-10-11,51426.0,11568,11255.0,4626.0,0.028438154471028758,0.0,0.5893106535811118,41.1
2018-10-12,45947.0,11689,11288.0,5060.0,0.06219626404778798,0.0,1.471595386182245,44.83
2018-10-13,46670.0,11794,11343.0,4477.0,0.010402891651238677,0.0,0.598321883647712,39.47
2018-10-14,32313.0,11838,11449.0,3463.0,-0.11183135145926626,-0.0714285714285714,-2.3165863429749067,30.25
2018-10-15,29294.0,11880,11568.0,3060.0,-0.1572564710531509,-0.07142857142857142,-3.740029012620216,26.45
2018-10-16,42723.0,11937,11689.0,3078.0,-0.152921550175378,-0.07142857142857142,-3.858971707828844,26.33
