garment_group_name,eligible_articles,total_units,avg_units_per_article,complete_lifecycle_articles,partial_lifecycle_articles,sustained_performers,rapid_spikes,long_tail_articles,slow_burn_articles,sustained_share_complete_pct,rapid_spike_share_complete_pct,long_tail_share_complete_pct,extreme_momentum_articles,extreme_momentum_share_pct,avg_peak_relative_velocity,median_max_7d_share_pct,median_days_to_80
Jersey Fancy,8248,4793571.0,581.2,6209.0,2039.0,235.0,936.0,950.0,555.0,3.78,15.07,15.3,757.0,9.18,51.6,16.04,110.0
Jersey Basic,3150,3146179.0,998.8,1904.0,1246.0,155.0,273.0,242.0,239.0,8.14,14.34,12.71,320.0,10.16,54.25,13.47,136.0
"Under-, Nightwear",3858,2860014.0,741.3,2671.0,1187.0,183.0,353.0,446.0,231.0,6.85,13.22,16.7,421.0,10.91,54.82,14.4,119.0
Trousers,3218,2842953.0,883.5,2225.0,993.0,119.0,338.0,420.0,305.0,5.35,15.19,18.88,361.0,11.22,55.31,14.74,125.0
Swimwear,1747,2508146.0,1435.7,1243.0,504.0,121.0,225.0,180.0,92.0,9.73,18.1,14.48,101.0,5.78,46.94,12.76,117.0
Blouses,3702,2421108.0,654.0,2759.0,943.0,127.0,480.0,500.0,231.0,4.6,17.4,18.12,399.0,10.78,54.56,15.55,118.0
Knitwear,3322,2248235.0,676.8,2284.0,1038.0,61.0,479.0,306.0,163.0,2.67,20.97,13.4,571.0,17.19,63.57,17.88,99.0
Dresses Ladies,3316,2090474.0,630.4,2648.0,668.0,68.0,649.0,395.0,189.0,2.57,24.51,14.92,449.0,13.54,58.17,18.23,98.0
Accessories,3787,1424218.0,376.1,2822.0,965.0,84.0,335.0,416.0,491.0,2.98,11.87,14.74,164.0,4.33,43.72,14.07,131.0
Trousers Denim,1425,1223582.0,858.7,828.0,597.0,78.0,106.0,148.0,133.0,9.42,12.8,17.87,109.0,7.65,50.45,13.13,144.0
Socks and Tights,781,715123.0,915.7,455.0,326.0,24.0,51.0,63.0,86.0,5.27,11.21,13.85,29.0,3.71,44.65,11.47,153.0
Shorts,829,715016.0,862.5,684.0,145.0,32.0,105.0,83.0,36.0,4.68,15.35,12.13,100.0,12.06,55.76,16.11,108.0
Shoes,1560,644068.0,412.9,1232.0,328.0,31.0,177.0,173.0,136.0,2.52,14.37,14.04,157.0,10.06,52.65,15.92,115.0
Outdoor,1417,636746.0,449.4,1022.0,395.0,19.0,135.0,160.0,122.0,1.86,13.21,15.66,183.0,12.91,57.89,16.32,118.0
Skirts,956,615549.0,643.9,725.0,231.0,33.0,152.0,133.0,46.0,4.55,20.97,18.34,105.0,10.98,54.4,17.62,93.0
Dressed,482,393922.0,817.3,322.0,160.0,3.0,76.0,49.0,26.0,0.93,23.6,15.22,70.0,14.52,58.3,17.27,94.5
Unknown,1046,305782.0,292.3,865.0,181.0,6.0,223.0,148.0,112.0,0.69,25.78,17.11,51.0,4.88,43.15,17.88,103.0
Special Offers,307,209755.0,683.2,256.0,51.0,1.0,88.0,59.0,14.0,0.39,34.38,23.05,39.0,12.7,56.98,21.96,87.0
Shirts,627,163917.0,261.4,508.0,119.0,4.0,47.0,55.0,88.0,0.79,9.25,10.83,13.0,2.07,40.82,14.29,133.0
Dresses/Skirts girls,130,22215.0,170.9,95.0,35.0,0.0,4.0,17.0,6.0,0.0,4.21,17.89,1.0,0.77,40.22,16.15,100.0
Woven/Jersey/Knitted mix Baby,106,16133.0,152.2,76.0,30.0,0.0,6.0,12.0,13.0,0.0,7.89,15.79,2.0,1.89,36.59,13.51,131.0
