garment_group_name,momentum_tier,articles,tier_share_pct
Accessories,Typical Momentum,2011,53.1
Accessories,Low Momentum,1211,31.98
Accessories,High Momentum,401,10.59
Accessories,Extreme Momentum,164,4.33
Blouses,Typical Momentum,1843,49.78
Blouses,Low Momentum,857,23.15
Blouses,High Momentum,603,16.29
Blouses,Extreme Momentum,399,10.78
Dressed,Typical Momentum,211,43.78
Dressed,Low Momentum,126,26.14
Dressed,High Momentum,75,15.56
Dressed,Extreme Momentum,70,14.52
Dresses Ladies,Typical Momentum,1611,48.58
Dresses Ladies,Low Momentum,668,20.14
Dresses Ladies,High Momentum,588,17.73
Dresses Ladies,Extreme Momentum,449,13.54
Dresses/Skirts girls,Typical Momentum,78,60.0
Dresses/Skirts girls,Low Momentum,42,32.31
Dresses/Skirts girls,High Momentum,9,6.92
Dresses/Skirts girls,Extreme Momentum,1,0.77
Jersey Basic,Typical Momentum,1559,49.49
Jersey Basic,Low Momentum,755,23.97
Jersey Basic,High Momentum,516,16.38
Jersey Basic,Extreme Momentum,320,10.16
Jersey Fancy,Typical Momentum,4147,50.28
Jersey Fancy,Low Momentum,2149,26.05
Jersey Fancy,High Momentum,1195,14.49
Jersey Fancy,Extreme Momentum,757,9.18
Knitwear,Typical Momentum,1468,44.19
Knitwear,High Momentum,647,19.48
Knitwear,Low Momentum,636,19.15
Knitwear,Extreme Momentum,571,17.19
Outdoor,Typical Momentum,672,47.42
Outdoor,Low Momentum,321,22.65
Outdoor,High Momentum,241,17.01
Outdoor,Extreme Momentum,183,12.91
Shirts,Typical Momentum,352,56.14
Shirts,Low Momentum,208,33.17
Shirts,High Momentum,54,8.61
Shirts,Extreme Momentum,13,2.07
Shoes,Typical Momentum,773,49.55
Shoes,Low Momentum,403,25.83
Shoes,High Momentum,227,14.55
Shoes,Extreme Momentum,157,10.06
Shorts,Typical Momentum,409,49.34
Shorts,Low Momentum,180,21.71
Shorts,High Momentum,140,16.89
Shorts,Extreme Momentum,100,12.06
Skirts,Typical Momentum,469,49.06
Skirts,Low Momentum,223,23.33
Skirts,High Momentum,159,16.63
Skirts,Extreme Momentum,105,10.98
Socks and Tights,Typical Momentum,445,56.98
Socks and Tights,Low Momentum,205,26.25
Socks and Tights,High Momentum,102,13.06
Socks and Tights,Extreme Momentum,29,3.71
Special Offers,Typical Momentum,146,47.56
Special Offers,Low Momentum,76,24.76
Special Offers,High Momentum,46,14.98
Special Offers,Extreme Momentum,39,12.7
Swimwear,Typical Momentum,993,56.84
Swimwear,Low Momentum,437,25.01
Swimwear,High Momentum,216,12.36
Swimwear,Extreme Momentum,101,5.78
Trousers,Typical Momentum,1581,49.13
Trousers,Low Momentum,786,24.43
Trousers,High Momentum,490,15.23
Trousers,Extreme Momentum,361,11.22
Trousers Denim,Typical Momentum,734,51.51
Trousers Denim,Low Momentum,377,26.46
Trousers Denim,High Momentum,205,14.39
Trousers Denim,Extreme Momentum,109,7.65
"Under-, Nightwear",Typical Momentum,1964,50.91
"Under-, Nightwear",Low Momentum,910,23.59
"Under-, Nightwear",High Momentum,563,14.59
"Under-, Nightwear",Extreme Momentum,421,10.91
Unknown,Typical Momentum,487,46.56
Unknown,Low Momentum,385,36.81
Unknown,High Momentum,123,11.76
Unknown,Extreme Momentum,51,4.88
Woven/Jersey/Knitted mix Baby,Typical Momentum,58,54.72
Woven/Jersey/Knitted mix Baby,Low Momentum,44,41.51
Woven/Jersey/Knitted mix Baby,High Momentum,2,1.89
Woven/Jersey/Knitted mix Baby,Extreme Momentum,2,1.89
