garment_group_name,eligible_articles,complete_articles,sustained_share_pct,rapid_spike_share_pct,long_tail_share_pct,extreme_momentum_share_pct
Accessories,3787,2822.0,2.98,11.87,14.74,4.33
Blouses,3702,2759.0,4.6,17.4,18.12,10.78
Dressed,482,322.0,0.93,23.6,15.22,14.52
Dresses Ladies,3316,2648.0,2.57,24.51,14.92,13.54
Jersey Basic,3150,1904.0,8.14,14.34,12.71,10.16
Jersey Fancy,8248,6209.0,3.78,15.07,15.3,9.18
Knitwear,3322,2284.0,2.67,20.97,13.4,17.19
Outdoor,1417,1022.0,1.86,13.21,15.66,12.91
Shirts,627,508.0,0.79,9.25,10.83,2.07
Shoes,1560,1232.0,2.52,14.37,14.04,10.06
Shorts,829,684.0,4.68,15.35,12.13,12.06
Skirts,956,725.0,4.55,20.97,18.34,10.98
Socks and Tights,781,455.0,5.27,11.21,13.85,3.71
Special Offers,307,256.0,0.39,34.38,23.05,12.7
Swimwear,1747,1243.0,9.73,18.1,14.48,5.78
Trousers,3218,2225.0,5.35,15.19,18.88,11.22
Trousers Denim,1425,828.0,9.42,12.8,17.87,7.65
"Under-, Nightwear",3858,2671.0,6.85,13.22,16.7,10.91
Unknown,1046,865.0,0.69,25.78,17.11,4.88
