garment_group_name,units_sold,purchased_articles,active_days,unit_share_pct
Jersey Fancy,5171611.0,21265,734,16.27
Jersey Basic,3268451.0,8075,734,10.28
"Under-, Nightwear",2966788.0,7377,734,9.33
Trousers,2953711.0,6669,734,9.29
Swimwear,2538085.0,2787,734,7.98
Blouses,2510441.0,5796,734,7.9
Knitwear,2392807.0,7377,734,7.53
Dresses Ladies,2147529.0,4839,734,6.76
Accessories,1645464.0,11380,734,5.18
Trousers Denim,1279886.0,3074,734,4.03
Socks and Tights,747344.0,2252,734,2.35
Shorts,736716.0,1558,734,2.32
Shoes,729477.0,5094,734,2.29
Outdoor,715576.0,4415,734,2.25
Skirts,624822.0,1245,734,1.97
Dressed,409535.0,901,734,1.29
Unknown,391639.0,3814,734,1.23
Special Offers,232397.0,1056,734,0.73
Shirts,210289.0,2110,734,0.66
Woven/Jersey/Knitted mix Baby,59863.0,1936,734,0.19
Dresses/Skirts girls,55893.0,1527,734,0.18
