month,units_sold,active_articles
2018-09-01,594776.0,25698
2018-10-01,1397040.0,33376
2018-11-01,1270619.0,31807
2018-12-01,1148827.0,32618
2019-01-01,1263471.0,32309
2019-02-01,1152412.0,32270
2019-03-01,1286750.0,31749
2019-04-01,1476454.0,33136
2019-05-01,1560319.0,34449
2019-06-01,1906202.0,33346
2019-07-01,1807494.0,32644
2019-08-01,1253530.0,32107
2019-09-01,1227178.0,30888
2019-10-01,1146772.0,30484
2019-11-01,1198033.0,29220
2019-12-01,1118315.0,30319
2020-01-01,1076354.0,30167
2020-02-01,1001859.0,31231
2020-03-01,1047752.0,28764
2020-04-01,1340882.0,23000
2020-05-01,1361815.0,29681
2020-06-01,1764507.0,32309
2020-07-01,1351502.0,30897
2020-08-01,1237192.0,30162
2020-09-01,798269.0,26252
