garment_group_name,units_sold,event_unit_share_pct,avg_velocity,avg_relative_velocity
Knitwear,128105.0,18.08,0.02661132551501487,0.5332583300369428
Jersey Fancy,85034.0,12.0,0.011541040488363033,0.35957384918573093
"Under-, Nightwear",83047.0,11.72,0.025128765018373318,0.573769854018849
Trousers,72327.0,10.21,0.06653213951623688,0.8125353425433871
Jersey Basic,65102.0,9.19,0.034084842511601196,0.5099312328790395
Dresses Ladies,45080.0,6.36,0.010150757128371964,0.38269828861317
Blouses,43378.0,6.12,0.011373412276706643,0.13838774983550056
Accessories,42625.0,6.02,0.014879984388213132,0.5007965097503304
Outdoor,29556.0,4.17,0.04630074539518272,1.1463662720064818
Socks and Tights,27024.0,3.82,0.004297569650266754,0.2704699792680204
Trousers Denim,24160.0,3.41,-0.0018716544177283109,-0.061948504117692274
Skirts,16698.0,2.36,0.014035789263221065,0.20484195589567497
Shoes,12741.0,1.8,0.027269357305036834,0.7260822296022191
Dressed,11076.0,1.56,0.030657296030995165,0.7856446098832985
Unknown,6390.0,0.9,0.0011287335031257245,0.15259804123834161
Swimwear,6263.0,0.88,0.004350953957742041,0.061845925770653246
Shirts,4259.0,0.6,0.008316524891110523,0.23343150624158263
Special Offers,2853.0,0.4,0.028380352927953236,0.24291919340353169
Shorts,2392.0,0.34,0.003499382461918485,0.09515563457845731
Woven/Jersey/Knitted mix Baby,195.0,0.03,0.009073987901349466,0.6076280832121436
Dresses/Skirts girls,55.0,0.01,0.00020946795140343495,0.024055369497522003
