article_id,prod_name,product_type_name,garment_group_name,observed_lifespan_days,total_units,days_to_50_pct,days_to_80_pct,max_7d_demand_share_pct,post_peak_share_pct
0697834002,ED Tulip,Top,Jersey Fancy,654,1011.0,250,429,3.07,56.97
0649098002,ERIK 2PK REG TANK TOP,Vest top,Jersey Basic,730,1403.0,303,601,3.21,58.73
0700737002,Samantha Padded T-shirt Milano,Bra,"Under-, Nightwear",632,1866.0,237,374,3.43,48.55
0399223035,Jeggings H.W,Trousers,Trousers Denim,648,4539.0,199,345,3.44,89.58
0720504004,Skinny 5pkt Lowprice,Trousers,Trousers Denim,653,3088.0,330,464,3.5,59.88
0679854001,Maja Cardigan TVP,Cardigan,Knitwear,619,6719.0,255,490,3.63,28.58
0120129014,Babette long,Leggings/Tights,Jersey Fancy,725,1046.0,211,409,3.63,76.29
0624251002,ED Space jegging,Trousers,Trousers,730,2029.0,403,562,3.65,54.02
0685816008,RONNY R-NECK,T-shirt,Jersey Basic,661,2758.0,274,493,3.66,19.33
0679280002,Charlotte Bikini Lotus Low,Underwear bottom,"Under-, Nightwear",638,1306.0,243,394,3.68,28.94
0678558001,Bell,Trousers,Knitwear,638,1154.0,169,354,3.73,88.65
0736213002,2p claw 2,Hair clip,Accessories,661,1445.0,267,437,3.74,29.62
0631536015,Basic 7p shaftless pattern,Socks,Socks and Tights,492,1943.0,155,269,3.76,36.28
0759871002,Tilda tank,Vest top,Jersey Basic,567,26329.0,277,447,3.81,13.43
0636392003,Jax Softtop 2 pk ( OPEN ),Bra,"Under-, Nightwear",551,1457.0,188,301,3.84,6.66
0623820001,Horace,Top,Jersey Fancy,731,1068.0,323,618,3.93,14.98
0562252039,Space 5 pkt tregging,Trousers,Trousers,658,2921.0,188,317,3.94,19.62
0469562002,Skinny denim (1),Trousers,Trousers,728,1573.0,241,467,3.94,63.57
0697054003,Despacito,Blouse,Blouses,661,4856.0,183,349,3.95,90.69
0729860002,Skirt Shine,Skirt,Trousers Denim,594,4634.0,313,535,3.95,13.25
