article_id,prod_name,garment_group_name,first_sale_date,last_sale_date,observed_lifespan_days,left_censored,right_censored,active_sales_days,total_units,peak_daily_units,peak_date,avg_units_per_active_day,active_day_rate_pct
0706016001,Jade HW Skinny Denim TRS,Trousers,2018-11-27,2020-09-22,666,0,1,666,50287.0,1303.0,2019-11-29,75.51,100.0
0706016002,Jade HW Skinny Denim TRS,Trousers,2018-11-02,2020-09-22,691,0,1,685,35043.0,640.0,2019-11-29,51.16,99.13
0372860001,7p Basic Shaftless,Socks and Tights,2018-09-20,2020-09-22,734,1,1,731,31718.0,257.0,2018-09-29,43.39,99.59
0610776002,Tilly (1),Jersey Basic,2018-09-20,2020-09-22,734,1,1,734,30199.0,516.0,2020-04-11,41.14,100.0
0759871002,Tilda tank,Jersey Basic,2019-03-05,2020-09-21,567,0,0,566,26329.0,183.0,2020-06-23,46.52,99.82
0464297007,Greta Thong Mynta Low 3p,"Under-, Nightwear",2018-09-20,2020-09-22,734,1,1,724,25025.0,368.0,2019-09-28,34.56,98.64
0372860002,7p Basic Shaftless,Socks and Tights,2018-09-20,2020-09-22,734,1,1,730,24458.0,132.0,2020-04-11,33.5,99.46
0610776001,Tilly (1),Jersey Basic,2018-09-20,2020-09-22,734,1,1,731,22451.0,362.0,2020-04-11,30.71,99.59
0399223001,Curvy Jeggings HW Ankle,Trousers Denim,2018-09-20,2020-09-22,734,1,1,732,22236.0,319.0,2018-11-23,30.38,99.73
0706016003,Jade HW Skinny Denim TRS,Trousers,2018-12-13,2020-09-22,650,0,1,642,21241.0,579.0,2019-09-28,33.09,98.77
0720125001,SUPREME RW tights,Jersey Fancy,2019-05-28,2020-09-22,484,0,1,480,21063.0,302.0,2019-09-28,43.88,99.17
0156231001,Box 4p Tights,Socks and Tights,2018-09-20,2020-09-22,734,1,1,675,21013.0,220.0,2019-09-28,31.13,91.96
0562245046,Luna skinny RW,Trousers,2018-09-20,2020-09-22,734,1,1,733,20719.0,690.0,2019-12-02,28.27,99.86
0562245001,Luna skinny RW,Trousers,2018-09-20,2020-09-22,734,1,1,713,20464.0,447.0,2018-11-26,28.7,97.14
0351484002,Lazer Razer Brief,Swimwear,2018-09-20,2020-09-22,734,1,1,685,20415.0,276.0,2020-04-11,29.8,93.32
