article_id,total_units,peak_smoothed_demand,peak_smoothed_demand_date,max_positive_velocity,max_velocity_date,max_positive_acceleration,max_acceleration_date,complete_lifecycle
0706016001,50287.0,448.85714285714283,2019-11-29,133.79,2019-11-25,117.29,2019-12-03,0
0562245018,14873.0,239.57142857142858,2019-12-01,90.5,2019-11-28,91.71,2019-12-06,0
0573085033,5200.0,200.42857142857142,2019-11-29,87.64,2019-11-28,148.57,2019-11-27,1
0562245046,20719.0,238.85714285714286,2019-11-30,68.79,2019-11-28,90.57,2019-12-06,0
0828114001,1805.0,149.28571428571428,2019-11-27,62.43,2019-11-25,74.86,2019-12-03,1
0706016025,3316.0,168.0,2019-11-30,61.36,2019-11-25,55.29,2019-12-03,1
0706016002,35043.0,197.71428571428572,2019-11-29,59.86,2019-11-25,59.43,2019-12-03,0
0824497001,2189.0,204.14285714285714,2019-11-28,58.29,2019-11-25,46.71,2019-12-03,1
0717490065,2404.0,191.14285714285714,2020-04-09,56.93,2020-04-07,87.86,2020-04-15,1
0882888002,3781.0,129.57142857142858,2020-06-20,50.0,2020-06-14,65.71,2020-06-13,1
0706016003,21241.0,175.28571428571428,2019-10-01,49.79,2019-09-25,77.86,2019-09-24,0
0564786001,9924.0,134.85714285714286,2019-06-22,49.36,2019-11-28,55.14,2019-12-06,0
0562245001,20464.0,270.0,2018-11-23,48.79,2019-11-28,57.14,2018-11-30,0
0705732001,3517.0,196.71428571428572,2019-06-22,48.79,2019-06-16,61.43,2019-06-15,1
0772902001,8832.0,201.85714285714286,2019-11-29,48.64,2019-11-25,48.86,2019-10-02,0
