article_id,prod_name,product_type_name,garment_group_name,date,daily_units,units_ma7,avg_units_per_active_day,peak_smoothed_demand,demand_velocity,velocity_pct_of_typical_day,velocity_pct_of_peak,daily_velocity_percentile,daily_relative_velocity_percentile
0573085033,Madison skinny HW (1),Trousers,Trousers,2019-11-28,37.0,177.71,9.92,200.43,87.64,883.17,43.73,100.0,100.0
0592986002,Cool tiebelt dressed,Trousers,Trousers,2019-01-22,17.0,58.71,3.88,84.71,33.5,862.99,39.54,100.0,100.0
0573085033,Madison skinny HW (1),Trousers,Trousers,2019-11-27,12.0,25.14,9.92,200.43,78.29,788.88,39.06,100.0,100.0
0693944001,Natalia,Jacket,Outdoor,2019-11-28,45.0,45.14,4.23,78.14,30.93,730.77,39.58,99.94,100.0
0592986002,Cool tiebelt dressed,Trousers,Trousers,2019-01-21,0.0,10.0,3.88,84.71,25.86,666.1,30.52,100.0,100.0
0739953003,Lennox,Blouse,Blouses,2019-11-28,17.0,59.86,5.86,90.0,38.57,658.72,42.86,99.97,99.99
0473507001,Lindsay shopper,Bag,Accessories,2019-11-28,1.0,25.29,4.94,57.57,27.64,559.67,48.01,99.9,99.99
0706016025,Jade Denim HW trs,Trousers,Trousers,2019-11-25,0.0,48.43,11.36,168.0,61.36,540.3,36.52,99.99,100.0
0678342001,Lima SS.,T-shirt,Jersey Basic,2018-10-11,16.0,92.29,8.11,96.57,43.14,531.96,44.67,100.0,100.0
0774224002,Lumiere Padded Soft Bra,Bra,"Under-, Nightwear",2019-11-28,9.0,28.71,5.25,62.57,27.07,516.01,43.26,99.9,99.98
0696942002,Tarragona WL,Boots,Shoes,2019-11-28,2.0,17.29,2.93,33.14,15.07,514.96,45.47,99.7,99.98
0456163009,Woody (1),Hoodie,Jersey Basic,2018-11-22,17.0,60.0,7.5,96.29,38.57,514.02,40.06,100.0,100.0
0678342001,Lima SS.,T-shirt,Jersey Basic,2018-10-10,24.0,10.29,8.11,96.57,41.57,512.59,43.05,100.0,100.0
0808276001,Ricky,Sweater,Knitwear,2019-09-29,8.0,59.0,8.32,100.14,42.0,504.68,41.94,100.0,100.0
0708311010,vermont fancy slacks (1),Trousers,Trousers,2019-11-28,17.0,42.29,6.48,75.43,31.21,481.97,41.38,99.95,99.98
0706016025,Jade Denim HW trs,Trousers,Trousers,2019-11-26,6.0,130.29,11.36,168.0,54.29,478.03,32.31,99.99,100.0
0576050001,April,Cardigan,Knitwear,2019-09-29,5.0,53.0,7.2,79.29,32.29,448.34,40.72,100.0,100.0
0316085001,Peggy polo,Polo shirt,Jersey Basic,2019-11-28,84.0,100.0,9.9,147.14,44.21,446.76,30.05,99.98,99.97
0562245018,Luna skinny RW,Trousers,Trousers,2019-11-28,78.0,143.86,20.35,239.57,90.5,444.8,37.78,100.0,99.97
0683995005,Petite Kendall RW Denim TRS,Trousers,Trousers,2019-07-21,0.0,32.43,4.18,56.0,18.5,442.75,33.04,99.94,100.0
0785041005,Capri body,Bodysuit,Jersey Basic,2019-11-28,30.0,38.86,4.92,58.29,21.64,440.22,37.13,99.85,99.96
0244267001,Silver lake,Sweater,Knitwear,2018-11-22,2.0,11.43,2.6,24.71,11.43,439.96,46.24,99.58,99.99
0757303002,HONEY seamless bra (1),Bra,Jersey Fancy,2019-11-28,10.0,44.86,7.69,81.86,33.71,438.5,41.19,99.96,99.96
0504154020,Lady Di,Sweater,Knitwear,2018-11-22,26.0,42.43,6.69,77.71,29.21,436.86,37.59,99.98,99.99
0739953003,Lennox,Blouse,Blouses,2019-11-27,3.0,12.0,5.86,90.0,25.14,429.39,27.94,99.96,100.0
